"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 05 13:13:11 IST 2023","Tue Sep 05 13:13:11 IST 2023","3","","1st: 2nd: 3rd","","","","""before all"" hook for 3rd",""
"passed","Tue Sep 05 13:13:11 IST 2023","Tue Sep 05 13:13:11 IST 2023","3","","1st: 2nd","","","","trail",""
"failed","Wed Sep 06 13:23:28 IST 2023","Wed Sep 06 13:23:58 IST 2023","30013","","Sample Testing javascript","","","","Launch some website",""
"passed","Tue Sep 05 13:13:11 IST 2023","Tue Sep 05 13:13:11 IST 2023","3","","1st: 2nd: 3rd","","","","trail",""
"passed","Tue Sep 05 13:13:11 IST 2023","Tue Sep 05 13:13:11 IST 2023","6","","1st","","","","""before all"" hook for 1st",""
